country,violence,age,age_first,duration,urban,edu,n_children,employ_paid,own_house,own_land,att_wb,fam_ipv,part_age,part_edu,alcohol,wealth_idx,telephone_yes
PK,1,26,14.0,12.0,0,0,1,0,0,0,1,1,34.0,10.0,0,0,0
PK,1,21,18.0,3.0,0,12,2,0,0,0,0,0,32.0,12.0,0,2,0
PK,0,33,18.0,15.0,0,7,1,0,0,0,0,0,34.0,10.0,0,2,0
PK,1,37,21.0,16.0,0,6,1,0,0,0,1,0,42.0,5.0,0,1,0
PK,0,20,20.0,0.0,0,12,0,0,1,0,1,0,26.0,12.0,0,2,0
PK,1,26,18.0,7.0,0,8,3,1,0,0,0,1,27.0,8.0,0,1,0
PK,0,17,17.0,0.0,0,7,0,0,0,0,0,0,20.0,12.0,0,2,0
PK,0,29,18.0,11.0,0,0,2,0,0,0,0,0,32.0,0.0,0,0,0
PK,0,36,18.0,18.0,0,5,0,0,0,0,1,0,44.0,16.0,0,1,0
PK,0,37,18.0,19.0,0,8,0,0,0,0,0,0,47.0,0.0,0,1,0
PK,1,26,20.0,6.0,0,0,3,0,0,0,1,0,27.0,8.0,0,3,0
PK,0,26,23.0,3.0,0,14,0,0,0,0,1,0,29.0,10.0,0,2,0
PK,1,43,17.0,26.0,0,0,2,0,0,0,0,0,46.0,10.0,0,1,0
PK,0,40,20.0,20.0,0,0,0,0,0,0,0,0,47.0,16.0,0,2,0
PK,1,38,23.0,15.0,1,14,0,1,1,0,0,1,45.0,12.0,0,3,0
PK,0,40,24.0,16.0,1,10,1,1,0,0,1,0,40.0,10.0,0,3,0
PK,0,30,15.0,15.0,1,8,2,0,0,0,1,0,43.0,12.0,0,3,0
PK,0,20,20.0,0.0,1,0,0,0,0,0,0,0,24.0,0.0,0,3,0
PK,1,40,15.0,25.0,1,0,0,1,0,0,0,0,53.0,0.0,0,2,0
PK,0,27,17.0,10.0,1,8,1,0,0,0,1,0,28.0,7.0,0,2,0
PK,1,40,18.0,22.0,1,12,0,0,0,0,0,0,55.0,0.0,0,4,0
PK,0,34,25.0,9.0,1,8,0,0,0,0,0,0,38.0,10.0,0,3,0
PK,1,35,17.0,17.0,1,16,0,0,0,0,0,0,45.0,16.0,0,4,0
PK,0,40,35.0,4.0,1,14,1,0,0,0,1,0,51.0,14.0,0,4,1
PK,0,45,18.0,27.0,1,10,0,0,0,0,0,0,55.0,12.0,0,4,0
PK,1,28,15.0,13.0,1,3,0,0,1,0,1,1,38.0,8.0,0,3,0
PK,1,43,22.0,21.0,0,0,1,0,0,0,0,0,45.0,5.0,0,4,0
PK,0,35,15.0,20.0,0,5,0,0,0,0,0,0,50.0,6.0,0,2,0
PK,0,32,22.0,9.0,0,14,2,0,1,0,0,0,40.0,12.0,0,4,0
PK,0,28,18.0,9.0,0,10,3,0,0,0,0,0,38.0,10.0,0,3,0
PK,0,37,15.0,22.0,0,0,0,0,0,0,0,0,45.0,0.0,0,4,0
PK,0,38,23.0,15.0,0,8,0,0,0,0,0,0,42.0,12.0,0,3,0
PK,0,35,14.0,20.0,0,0,0,0,0,0,0,0,40.0,0.0,0,3,0
PK,0,30,18.0,11.0,0,0,2,0,0,0,0,0,36.0,12.0,0,2,0
PK,0,25,22.0,3.0,0,0,2,0,0,0,0,0,27.0,10.0,0,0,0
PK,0,27,17.0,10.0,0,0,1,0,0,0,0,0,30.0,0.0,0,1,0
PK,1,23,18.0,4.0,0,8,2,0,0,0,1,0,41.0,12.0,0,0,0
PK,0,19,18.0,0.0,0,7,1,0,0,0,0,1,27.0,10.0,0,3,0
PK,0,44,15.0,29.0,0,0,0,0,0,0,1,0,50.0,8.0,0,2,0
